name,url
Novo Nordisk,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/aaff8e8b-ac51-42a0-8da9-5272ddff0e301"" "
Alibaba Cloud,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/cdad5ac7-0ccb-4c02-b7c4-a0aee71d27b61"" "
AGGLOMÉRATION DE BÉTHUNE-BRUAY,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/880c4645-cce7-4d9c-a3f6-6640f9c25f8f41"" "
Berlin Partner for Business and Technology,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f0e6044c-19ec-4dc0-a8f5-cb29c03d43e941"" "
Institut Mines-Telecom,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/1898e8f4-2680-476d-aa88-3b118345dcd841"" "
French-German Chamber of Commerce and Industry,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5c16e41d-8c63-44bc-b192-a2e5efd0eeb61"" "
Digital Hub Initiative,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f6ff5e5d-2c1a-4eb8-963d-f597717177a71"" "
CCI Paris Ile-de-France,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/34b251d1-1d2c-4c47-8785-6b5ec29ac3fb41"" "
Plasseraud IP,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/dd62ed61-e983-4f58-b59a-6d3ba4b4b9781"" "
McKinsey &amp; Co.,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/9280e0e2-c471-4881-9ef2-ba6df14d38561"" "
Conseil national des barreaux,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/e5fbb742-5590-435d-82ef-2be16dfda3751"" "
BELGIUM / Digital Wallonia,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/936ca563-797d-4bd4-9838-56854ced1a491"" "
INRIA,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/bf03d1df-dbeb-4b8c-aa1f-0d9eb84edadb1"" "
Organisation internationale de la Francophonie (OIF),"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/cc83dd21-6203-4ea2-8477-27f3326af1261"" "
Dell Technologies,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/07464a62-0a7a-41f0-ba95-9c3300ed39441"" "
Getaround,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/7bccaa0b-01be-4455-b362-80c6cce693f41"" "
Clevy,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/69f4ebea-27cb-4a66-8b8d-4f51f685f9281"" "
Région Pays de la Loire,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/48523370-8015-4129-aebe-556538e5f4091"" "
Avolta Partners,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f533effe-7466-4f87-ae50-1ac3ebc2b8081"" "
Sitecore,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/55855f90-1655-4825-a5f2-b04ce24415401"" "
Sanofi,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/48a4f813-1aba-47c8-8b08-6e35b5a1f62d41"" "
JETRO-Japan External Trade Organization,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5d2d7695-c297-4b95-b5c1-146409aa33801"" "
Beau de Loménie (BDL-IP),"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/0ec6f4cd-93fe-4d0f-9e83-1dc29c0940261"" "
madamePee,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/c769a6e5-6d57-4e2b-bf0b-aff34f08bfc21"" "
Métropole du Grand Paris,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/4ca78663-c70e-410b-9b1e-3e17e75e78db1"" "
IFFEN,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/2211625d-3c27-4ab6-ac8e-3d6add0167c01"" "
VIVA TECHNOLOGY,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/b13e965c-6152-403a-a04e-6f222bd7286d1"" "
European innovation Council - EIC,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/47f0e99c-83b5-4af6-828b-39c6000044231"" "
LITO,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/edeec4b6-0326-4521-8f82-34c57a91d15441"" "
Université franco-allemande,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/8d4e05f1-a391-433a-b571-4f33e8e6de3d1"" "
HUMAN PARK,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5d002876-bd32-4189-ba64-ca8fb2a947be41"" "
MOBILITY PARK,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/6a9b6280-c578-42a7-a2a1-98692b0765621"" "
LOW CARBON PARK,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/1db3b51f-0801-4738-9c27-c0c5666405c01"" "
Databricks,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f8486379-e291-4d3b-8498-6ab07c959a2f1"" "
